t_min,speech_ratio,pause_ratio,loudness_mean,loudness_cv,f0_std_semitones,f0_range_1090,peaks_per_speech_sec,mean_pause_sec
0.0,0.0035,0.9965,0.2792890965938568,0.24179457128047943,1.5794506072998047,4.034420013427734,4.761904761904762,0.0
1.0,0.009166666666666667,0.9908333333333333,0.22320877015590668,0.46982571482658386,8.32010555267334,19.513084411621094,9.09090909090909,5.682500000000001
2.0,0.4038333333333333,0.5961666666666667,1.0334854125976562,0.6678217649459839,9.922160148620605,23.208419799804688,3.549319026000825,1.3113043478260873
3.0,0.6605000000000001,0.3394999999999999,0.9220994710922241,0.6663001179695129,9.230731010437012,16.62019157409668,4.441079989906636,0.9499999999999997
4.0,0.8031666666666666,0.19683333333333342,1.038311243057251,0.5837874412536621,11.319525718688965,24.510740280151367,4.2332434114961615,0.5223076923076919
5.0,0.856,0.14400000000000002,0.9443201422691345,0.5662168264389038,11.256582260131836,26.03477668762207,4.264018691588785,0.48714285714285743
6.0,0.7795000000000001,0.22049999999999992,0.9155001044273376,0.6114979982376099,11.120261192321777,21.87559700012207,4.44729527474877,0.581538461538461
7.0,0.7671666666666667,0.23283333333333334,0.9210034608840942,0.688747227191925,11.368147850036621,28.206762313842773,3.953943080599609,0.6673333333333336
8.0,0.8136666666666666,0.18633333333333335,0.8537974953651428,0.6308451294898987,9.220077514648438,13.85087776184082,4.301515772224498,0.6322222222222226
9.0,0.8531666666666666,0.14683333333333337,0.9153185486793518,0.6252399682998657,7.884843349456787,12.467370986938477,4.3758546591131084,0.47428571428571514
10.0,0.8495,0.15049999999999997,0.862490713596344,0.6484420895576477,9.23892879486084,12.532413482666016,4.355503237198352,0.7100000000000023
11.0,0.7225,0.27749999999999997,0.9472623467445374,0.6678745150566101,8.788917541503906,16.686397552490234,4.19838523644752,0.7224999999999996
12.0,0.7036666666666667,0.29633333333333334,0.9185380339622498,0.6429765820503235,10.121685028076172,16.334402084350586,4.500236854571293,1.2329999999999999
13.0,0.8915000000000001,0.10849999999999993,0.9059606194496155,0.6198658347129822,11.208516120910645,26.061418533325195,4.374649467190129,0.4259999999999998
14.0,0.771,0.22899999999999998,0.940619707107544,0.6459465026855469,11.528626441955566,32.038002014160156,4.0856031128404675,0.647692307692308
15.0,0.7161666666666666,0.2838333333333334,0.8974623680114746,0.6252768635749817,12.054409980773926,34.412925720214844,4.165696997905515,0.6357894736842101
16.0,0.5916666666666667,0.4083333333333333,0.8445612192153931,0.6328088045120239,8.367480278015137,12.368473052978516,4.169014084507042,1.228235294117647
17.0,0.756,0.244,0.7905452251434326,0.6393967866897583,8.99248218536377,14.107112884521484,3.990299823633157,0.7566666666666668
18.0,0.8318333333333334,0.16816666666666658,0.8752616047859192,0.6502419710159302,8.740462303161621,13.615137100219727,4.367862151873371,0.4911111111111111
19.0,0.8116666666666668,0.18833333333333324,0.8977423906326294,0.6353262066841125,10.646417617797852,15.819280624389648,4.086242299794661,0.7300000000000001
20.0,0.8345,0.16549999999999998,0.8722199201583862,0.6172044277191162,7.240633010864258,10.573602676391602,4.393848611943279,0.7828571428571424
21.0,0.7673333333333333,0.2326666666666667,0.8017102479934692,0.6069195866584778,10.391063690185547,17.392515182495117,4.278887923544744,0.654666666666667
22.0,0.5815,0.4185,0.8326548337936401,0.6484363675117493,10.397713661193848,26.513614654541016,4.09859558612783,1.0940000000000005
23.0,0.7755,0.22450000000000003,0.9342637062072754,0.6575232148170471,11.140912055969238,33.39923095703125,4.190844616376531,0.6281818181818182
24.0,0.7538333333333334,0.24616666666666664,0.9043280482292175,0.649132490158081,9.537003517150879,14.682775497436523,4.510280787088216,0.6061111111111113
25.0,0.7873333333333333,0.21266666666666667,0.9244592785835266,0.6582148671150208,10.656118392944336,19.300525665283203,4.297205757832345,0.5600000000000003
26.0,0.7358333333333333,0.26416666666666666,0.9396953582763672,0.6565016508102417,12.470595359802246,34.89155960083008,4.144960362400906,0.7559999999999998
27.0,0.8213333333333334,0.17866666666666664,0.8709211349487305,0.6518080830574036,8.852350234985352,13.175792694091797,4.4439935064935066,0.8924999999999984
28.0,0.6343333333333334,0.3656666666666666,0.932528018951416,0.6439136862754822,10.183160781860352,19.919111251831055,4.019968470835523,0.8108695652173918
29.0,0.8251666666666666,0.1748333333333334,0.9718404412269592,0.6001627445220947,6.731753349304199,7.381889343261719,4.180973540698849,0.5408333333333327
30.0,0.7453333333333333,0.2546666666666667,0.9867137670516968,0.6777711510658264,9.195313453674316,14.143522262573242,4.047406082289803,0.6199999999999997
31.0,0.6626666666666666,0.3373333333333334,0.8688512444496155,0.6684117913246155,8.780303001403809,12.866065979003906,4.275653923541248,0.8873333333333331
